省份,A类,B1(计算),B2(计算),B3(计算),B总名额(计算),总名额
安徽,5,2.97,2,1,6,11
北京,5,5.06,2,2,9,14
重庆,5,3.10,3,3,9,14
福建,5,4.68,2,1,8,13
广东,5,10.53,2,4,12,17
甘肃,5,0.24,1,0,1,6
广西,5,1.22,1,0,2,7
贵州,5,0.98,1,0,2,7
河南,5,2.03,2,0,4,9
湖北,5,1.76,2,0,4,9
河北,5,1.92,2,1,5,10
海南,5,0.56,1,0,2,7
黑龙江,5,0.93,1,0,2,7
湖南,5,3.46,2,2,7,12
吉林,5,0.83,1,0,2,7
江苏,5,5.59,2,5,12,17
江西,5,1.18,2,0,3,8
辽宁,5,1.08,1,0,2,7
内蒙古,5,0.59,1,0,2,7
四川,5,5.19,2,2,9,14
山东,5,6.33,2,1,9,14
上海,5,4.06,2,3,9,14
陕西,5,1.65,2,0,4,9
山西,5,1.05,1,0,2,7
天津,5,0.96,1,0,2,7
新疆,5,0.82,1,0,2,7
云南,5,0.82,1,0,2,7
浙江,5,5.42,2,5,12,17
